GeographicArea	2015	2016	2017
United States	320635163	322941311	324985539
Alabama	4852347	4863525	4874486
Alaska	737498	741456	739700
Arizona	6829676	6941072	7044008
Arkansas	2978048	2989918	3001345
California	38918045	39167117	39358497
Colorado	5450623	5539215	5611885
Connecticut	3587122	3578141	3573297
Delaware	941252	948921	956823
Washington DC	675400	685815	694906
Florida	20209042	20613477	20963613
Georgia	10178447	10301890	10410330
Hawaii	1422052	1427559	1424393
Idaho	1651059	1682380	1717715
Illinois	12858913	12820527	12778828
Indiana	6608422	6634304	6658078
Iowa	3120960	3131371	3141550
Kansas	2909011	2910844	2908718
Kentucky	4425976	4438182	4452268
Louisiana	4664628	4678135	4670560
Maine	1328262	1331317	1334612
Maryland	5985562	6003323	6023868
Massachusetts	6794228	6823608	6859789
Michigan	9931715	9950571	9973114
Minnesota	5482032	5522744	5566230
Mississippi	2988471	2987938	2988510
Missouri	6071732	6087135	6106670
Montana	1030475	1040859	1052482
Nebraska	1891277	1905616	1915947
Nevada	2866939	2917563	2969905
New Hampshire	1336350	1342307	1348787
New Jersey	8867949	8870827	8885525
New Mexico	2089291	2091630	2091784
New York	19654666	19633428	19589572
North Carolina	10031646	10154788	10268233
North Dakota	754066	754434	754942
Ohio	11617527	11634370	11659650
Oklahoma	3909500	3926331	3931316
Oregon	4015792	4089976	4143625
Pennsylvania	12784826	12782275	12787641
Rhode Island	1056065	1056770	1055673
South Carolina	4891938	4957968	5021268
South Dakota	853988	862996	872868
Tennessee	6591170	6646010	6708799
Texas	27470056	27914410	28295273
Utah	2981835	3041868	3101042
Vermont	625216	623657	624344
Virginia	8361808	8410106	8463587
Washington	7163657	7294771	7423362
West Virginia	1842050	1831023	1817004
Wisconsin	5760940	5772628	5790186
Wyoming	585613	584215	578931
